"cu","Rmeas","draw","year","alpha","beta"
"Great Central","BYO","106",NA,334.185690050707,5718511.2147824
"Great Central","BYO","107",NA,432.001394078106,5726048.20531991
"Great Central","BYO","108",NA,318.56040934992,5706216.66378237
"Great Central","BYO","109",NA,286.914018484079,5871673.00554922
"Great Central","BYO","110",NA,359.571473634479,5954577.29989555
"Great Central","BYO","111",NA,347.608708904933,5836314.68376703
"Great Central","BYO","112",NA,278.909452107945,6227321.76333391
"Great Central","BYO","113",NA,312.051617904824,5671813.22365275
"Great Central","BYO","114",NA,376.102332167536,5846910.30444038
"Great Central","BYO","115",NA,269.268007758381,5547792.19502177
"Great Central","BYO","116",NA,306.498495035385,5652456.11650877
"Great Central","BYO","117",NA,306.813290730605,6022389.81121871
"Great Central","BYO","118",NA,368.071130669448,5861298.61259583
"Great Central","BYO","119",NA,231.563519159792,5907740.05939131
"Great Central","BYO","120",NA,337.173573747734,5695952.34765836
"Great Central","BYO","121",NA,334.038323430729,5816740.7231735
"Great Central","BYO","122",NA,370.709249855369,5621265.31154404
"Great Central","BYO","123",NA,340.532217162573,5608623.5562478
"Great Central","BYO","124",NA,249.726993257445,5575057.75589879
"Great Central","BYO","125",NA,299.372789462312,5204196.70756086
"Great Central","BYO","126",NA,309.74883890073,5926067.13136001
"Great Central","BYO","127",NA,497.777843737719,5504839.65893815
"Great Central","BYO","128",NA,480.04005515493,5579689.81394848
"Great Central","BYO","129",NA,285.193446326306,5839287.1579849
"Great Central","BYO","130",NA,300.788770606816,5873331.04290706
"Great Central","BYO","131",NA,428.652173239025,5668331.7507238
"Great Central","BYO","132",NA,402.61214433257,5797856.48956979
"Great Central","BYO","133",NA,367.427866672786,5762202.78436644
"Great Central","BYO","134",NA,359.313631155293,6062534.10118172
"Great Central","BYO","135",NA,323.854507947452,5893737.5937602
"Great Central","BYO","136",NA,257.911329590327,6256216.94592638
"Great Central","BYO","137",NA,277.81488957366,5647413.22960755
"Great Central","BYO","138",NA,379.391120737742,5821620.03634217
"Great Central","BYO","139",NA,263.091271585171,5484069.82759266
"Great Central","BYO","140",NA,385.284873531746,5383659.984916
"Great Central","BYO","141",NA,453.680608141571,5444081.84769514
"Great Central","BYO","142",NA,291.550957588518,5940645.8818541
"Great Central","BYO","143",NA,232.813518487944,5825880.38376709
"Great Central","BYO","144",NA,406.034855286203,5750072.31433295
"Great Central","BYO","145",NA,310.723821947977,6087595.71994799
"Great Central","BYO","146",NA,263.547917445845,5881606.28612748
"Great Central","BYO","147",NA,332.744792303175,5653939.77343093
"Great Central","BYO","148",NA,364.542182276102,6138390.30005383
"Great Central","BYO","149",NA,343.167853349202,5752692.65413557
"Great Central","BYO","150",NA,267.61860503595,6059112.22987949
"Great Central","BYO","151",NA,230.921071861987,5929763.94052147
"Great Central","BYO","152",NA,475.058733734172,5596150.52597888
"Great Central","BYO","153",NA,286.414999947476,5546856.22444568
"Great Central","BYO","154",NA,245.19987618979,5844039.94449138
"Great Central","BYO","155",NA,296.020249742181,5522879.66825563
"Great Central","BYO","156",NA,462.497004866042,5486128.61067022
"Great Central","BYO","157",NA,373.960160248623,6040988.44946636
"Great Central","BYO","158",NA,354.52102732973,5710440.49216549
"Great Central","BYO","159",NA,410.378578386859,5665593.81351585
"Great Central","BYO","160",NA,269.946449697789,5927993.47553838
"Great Central","BYO","161",NA,255.349930494679,5748523.21583058
"Great Central","BYO","162",NA,352.726676123051,5385870.84860774
"Great Central","BYO","163",NA,336.055839263062,5689940.38088306
"Great Central","BYO","164",NA,250.462749903289,5828774.97631833
"Great Central","BYO","165",NA,394.034957089899,5520634.25620096
"Great Central","BYO","166",NA,348.126270848556,5707150.87914601
"Great Central","BYO","167",NA,323.458250671202,6023931.33795161
"Great Central","BYO","168",NA,364.077316405798,5608362.18393896
"Great Central","BYO","169",NA,332.269040233923,5712323.74913688
"Great Central","BYO","170",NA,293.363031849246,5716296.77562632
"Great Central","BYO","171",NA,281.654888914438,6238480.70071486
"Great Central","BYO","172",NA,312.838741428978,5957377.26216157
"Great Central","BYO","173",NA,319.737173588529,5687946.04958884
"Great Central","BYO","174",NA,282.533169614714,6043700.43260275
"Great Central","BYO","175",NA,380.40898755172,5480341.69024714
"Great Central","BYO","176",NA,279.535093899523,5428056.1027612
"Great Central","BYO","177",NA,329.328537375745,5521856.89757242
"Great Central","BYO","178",NA,310.411164053923,5993031.60927345
"Great Central","BYO","179",NA,302.936721442904,5700857.79030743
"Great Central","BYO","180",NA,400.981305690252,5738932.40844835
"Great Central","BYO","181",NA,266.215081594649,5795726.92113444
"Great Central","BYO","182",NA,353.786481447921,5720646.20083217
"Great Central","BYO","183",NA,380.127837390983,5563412.74924127
"Great Central","BYO","184",NA,315.770489236852,5801748.67172327
"Great Central","BYO","185",NA,273.196953066237,6122723.61664198
"Great Central","BYO","186",NA,377.424761935458,5662943.31460859
"Great Central","BYO","187",NA,433.742106529503,5625323.03412004
"Great Central","BYO","188",NA,293.908617875896,5587333.26328704
"Great Central","BYO","189",NA,393.819947763537,5872822.02932276
"Great Central","BYO","190",NA,322.420774253287,5699731.37380066
