date,CUTI,lat
1999-11-15T00:00:00Z,-0.641,45N
1999-12-15T00:00:00Z,-0.008,45N
2000-01-15T00:00:00Z,-0.293,45N
2000-02-15T00:00:00Z,-0.266,45N
2000-03-15T00:00:00Z,0.109,45N
2000-04-15T00:00:00Z,0.209,45N
2000-05-15T00:00:00Z,0.251,45N
2000-06-15T00:00:00Z,0.566,45N
2000-07-15T00:00:00Z,0.427,45N
2000-08-15T00:00:00Z,0.487,45N
2000-09-15T00:00:00Z,0.251,45N
2000-10-15T00:00:00Z,0.108,45N
2000-11-15T00:00:00Z,0.222,45N
2000-12-15T00:00:00Z,-0.314,45N
2001-01-15T00:00:00Z,-0.409,45N
2001-02-15T00:00:00Z,0.232,45N
2001-03-15T00:00:00Z,0.541,45N
2001-04-15T00:00:00Z,0.182,45N
2001-05-15T00:00:00Z,0.471,45N
2001-06-15T00:00:00Z,0.418,45N
2001-07-15T00:00:00Z,0.776,45N
2001-08-15T00:00:00Z,0.161,45N
2001-09-15T00:00:00Z,0.43,45N
2001-10-15T00:00:00Z,0.108,45N
2001-11-15T00:00:00Z,-0.725,45N
2001-12-15T00:00:00Z,-0.257,45N
2002-01-15T00:00:00Z,-0.312,45N
2002-02-15T00:00:00Z,0.089,45N
2002-03-15T00:00:00Z,0.236,45N
2002-04-15T00:00:00Z,0.678,45N
2002-05-15T00:00:00Z,0.428,45N
2002-06-15T00:00:00Z,0.363,45N
2002-07-15T00:00:00Z,0.652,45N
2002-08-15T00:00:00Z,0.543,45N
2002-09-15T00:00:00Z,0.344,45N
2002-10-15T00:00:00Z,0.343,45N
2002-11-15T00:00:00Z,-0.867,45N
2002-12-15T00:00:00Z,-1.022,45N
2003-01-15T00:00:00Z,-0.534,45N
2003-02-15T00:00:00Z,0.116,45N
2003-03-15T00:00:00Z,-0.463,45N
2003-04-15T00:00:00Z,-0.25,45N
2003-05-15T00:00:00Z,0.454,45N
2003-06-15T00:00:00Z,0.918,45N
2003-07-15T00:00:00Z,0.68,45N
2003-08-15T00:00:00Z,0.513,45N
2003-09-15T00:00:00Z,0.501,45N
2003-10-15T00:00:00Z,-0.318,45N
2003-11-15T00:00:00Z,-0.213,45N
2003-12-15T00:00:00Z,-0.5,45N
2004-01-15T00:00:00Z,-0.336,45N
2004-02-15T00:00:00Z,-0.266,45N
2004-03-15T00:00:00Z,0.233,45N
2004-04-15T00:00:00Z,0.117,45N
2004-05-15T00:00:00Z,0.279,45N
2004-06-15T00:00:00Z,0.535,45N
2004-07-15T00:00:00Z,0.486,45N
2004-08-15T00:00:00Z,0.364,45N
2004-09-15T00:00:00Z,0.404,45N
2004-10-15T00:00:00Z,0.029,45N
2004-11-15T00:00:00Z,0.576,45N
2004-12-15T00:00:00Z,-0.13,45N
2005-01-15T00:00:00Z,-0.362,45N
2005-02-15T00:00:00Z,0.299,45N
2005-03-15T00:00:00Z,-0.271,45N
2005-04-15T00:00:00Z,0.146,45N
2005-05-15T00:00:00Z,-0.019,45N
2005-06-15T00:00:00Z,0.539,45N
2005-07-15T00:00:00Z,0.832,45N
2005-08-15T00:00:00Z,0.539,45N
2005-09-15T00:00:00Z,0.545,45N
2005-10-15T00:00:00Z,-0.298,45N
2005-11-15T00:00:00Z,0.026,45N
2005-12-15T00:00:00Z,-0.574,45N
2006-01-15T00:00:00Z,-0.428,45N
2006-02-15T00:00:00Z,0.19,45N
2006-03-15T00:00:00Z,-0.648,45N
2006-04-15T00:00:00Z,0.361,45N
2006-05-15T00:00:00Z,0.69,45N
2006-06-15T00:00:00Z,0.912,45N
2006-07-15T00:00:00Z,0.842,45N
2006-08-15T00:00:00Z,0.751,45N
2006-09-15T00:00:00Z,0.297,45N
2006-10-15T00:00:00Z,0.249,45N
2006-11-15T00:00:00Z,-0.416,45N
2006-12-15T00:00:00Z,-0.481,45N
2007-01-15T00:00:00Z,0.102,45N
2007-02-15T00:00:00Z,-0.176,45N
2007-03-15T00:00:00Z,0.033,45N
2007-04-15T00:00:00Z,0.061,45N
2007-05-15T00:00:00Z,0.712,45N
2007-06-15T00:00:00Z,0.086,45N
2007-07-15T00:00:00Z,0.432,45N
2007-08-15T00:00:00Z,0.424,45N
2007-09-15T00:00:00Z,0.345,45N
2007-10-15T00:00:00Z,0.143,45N
2007-11-15T00:00:00Z,0.083,45N
2007-12-15T00:00:00Z,-0.751,45N
2008-01-15T00:00:00Z,-0.355,45N
2008-02-15T00:00:00Z,-0.072,45N
2008-03-15T00:00:00Z,0.059,45N
2008-04-15T00:00:00Z,0.278,45N
2008-05-15T00:00:00Z,0.591,45N
2008-06-15T00:00:00Z,0.559,45N
2008-07-15T00:00:00Z,0.602,45N
2008-08-15T00:00:00Z,0.254,45N
2008-09-15T00:00:00Z,0.457,45N
2008-10-15T00:00:00Z,-0.058,45N
2008-11-15T00:00:00Z,-0.555,45N
2008-12-15T00:00:00Z,0.001,45N
2009-01-15T00:00:00Z,0.008,45N
2009-02-15T00:00:00Z,0.055,45N
2009-03-15T00:00:00Z,0.084,45N
2009-04-15T00:00:00Z,0.317,45N
2009-05-15T00:00:00Z,0.293,45N
2009-06-15T00:00:00Z,0.309,45N
2009-07-15T00:00:00Z,0.442,45N
2009-08-15T00:00:00Z,0.29,45N
2009-09-15T00:00:00Z,0.117,45N
2009-10-15T00:00:00Z,0.013,45N
2009-11-15T00:00:00Z,-0.801,45N
2009-12-15T00:00:00Z,-0.235,45N
2010-01-15T00:00:00Z,-0.985,45N
2010-02-15T00:00:00Z,-0.218,45N
2010-03-15T00:00:00Z,-0.1,45N
2010-04-15T00:00:00Z,0.074,45N
2010-05-15T00:00:00Z,0.157,45N
2010-06-15T00:00:00Z,0.25,45N
2010-07-15T00:00:00Z,0.912,45N
2010-08-15T00:00:00Z,0.274,45N
2010-09-15T00:00:00Z,-0.082,45N
2010-10-15T00:00:00Z,-0.294,45N
2010-11-15T00:00:00Z,-0.183,45N
2010-12-15T00:00:00Z,-1.217,45N
2011-01-15T00:00:00Z,0.015,45N
2011-02-15T00:00:00Z,0.187,45N
2011-03-15T00:00:00Z,-0.618,45N
2011-04-15T00:00:00Z,0.262,45N
2011-05-15T00:00:00Z,0.079,45N
2011-06-15T00:00:00Z,0.263,45N
2011-07-15T00:00:00Z,0.565,45N
2011-08-15T00:00:00Z,0.364,45N
2011-09-15T00:00:00Z,-0.006,45N
2011-10-15T00:00:00Z,0.044,45N
2011-11-15T00:00:00Z,-0.384,45N
2011-12-15T00:00:00Z,0.506,45N
2012-01-15T00:00:00Z,-0.623,45N
2012-02-15T00:00:00Z,0.042,45N
2012-03-15T00:00:00Z,-0.701,45N
2012-04-15T00:00:00Z,-0.25,45N
2012-05-15T00:00:00Z,0.531,45N
2012-06-15T00:00:00Z,0.172,45N
2012-07-15T00:00:00Z,0.469,45N
2012-08-15T00:00:00Z,0.528,45N
2012-09-15T00:00:00Z,0.533,45N
2012-10-15T00:00:00Z,-0.196,45N
2012-11-15T00:00:00Z,-0.585,45N
2012-12-15T00:00:00Z,-0.184,45N
2013-01-15T00:00:00Z,-0.072,45N
2013-02-15T00:00:00Z,-0.069,45N
2013-03-15T00:00:00Z,-0.06,45N
2013-04-15T00:00:00Z,0.203,45N
2013-05-15T00:00:00Z,0.185,45N
2013-06-15T00:00:00Z,0.318,45N
2013-07-15T00:00:00Z,1.231,45N
2013-08-15T00:00:00Z,0.192,45N
2013-09-15T00:00:00Z,-0.113,45N
2013-10-15T00:00:00Z,0.408,45N
2013-11-15T00:00:00Z,-0.079,45N
2013-12-15T00:00:00Z,-0.033,45N
2014-01-15T00:00:00Z,-0.255,45N
2014-02-15T00:00:00Z,-0.333,45N
2014-03-15T00:00:00Z,-0.287,45N
2014-04-15T00:00:00Z,0.097,45N
2014-05-15T00:00:00Z,0.174,45N
2014-06-15T00:00:00Z,0.532,45N
2014-07-15T00:00:00Z,0.735,45N
2014-08-15T00:00:00Z,0.619,45N
2014-09-15T00:00:00Z,0.108,45N
2014-10-15T00:00:00Z,-0.539,45N
2014-11-15T00:00:00Z,-0.262,45N
2014-12-15T00:00:00Z,-0.664,45N
2015-01-15T00:00:00Z,-0.194,45N
2015-02-15T00:00:00Z,-0.44,45N
2015-03-15T00:00:00Z,-0.071,45N
2015-04-15T00:00:00Z,0.237,45N
2015-05-15T00:00:00Z,0.513,45N
2015-06-15T00:00:00Z,0.731,45N
2015-07-15T00:00:00Z,0.277,45N
2015-08-15T00:00:00Z,0.321,45N
2015-09-15T00:00:00Z,0.272,45N
2015-10-15T00:00:00Z,-0.062,45N
2015-11-15T00:00:00Z,-0.255,45N
2015-12-15T00:00:00Z,-0.964,45N
2016-01-15T00:00:00Z,-0.845,45N
2016-02-15T00:00:00Z,-0.455,45N
2016-03-15T00:00:00Z,-0.555,45N
2016-04-15T00:00:00Z,0.062,45N
2016-05-15T00:00:00Z,0.519,45N
2016-06-15T00:00:00Z,0.386,45N
2016-07-15T00:00:00Z,0.483,45N
2016-08-15T00:00:00Z,0.537,45N
2016-09-15T00:00:00Z,0.383,45N
2016-10-15T00:00:00Z,-1.036,45N
2016-11-15T00:00:00Z,-0.693,45N
2016-12-15T00:00:00Z,-0.086,45N
2017-01-15T00:00:00Z,-0.47,45N
2017-02-15T00:00:00Z,-0.151,45N
