date,BEUTI,lat
1999-11-15T00:00:00Z,-2.655,45N
1999-12-15T00:00:00Z,0.301,45N
2000-01-15T00:00:00Z,-3.466,45N
2000-02-15T00:00:00Z,-3.53,45N
2000-03-15T00:00:00Z,1.511,45N
2000-04-15T00:00:00Z,2.633,45N
2000-05-15T00:00:00Z,0.741,45N
2000-06-15T00:00:00Z,0.941,45N
2000-07-15T00:00:00Z,1.196,45N
2000-08-15T00:00:00Z,1.888,45N
2000-09-15T00:00:00Z,0.196,45N
2000-10-15T00:00:00Z,0.009,45N
2000-11-15T00:00:00Z,0.778,45N
2000-12-15T00:00:00Z,-3.765,45N
2001-01-15T00:00:00Z,-6.389,45N
2001-02-15T00:00:00Z,2.365,45N
2001-03-15T00:00:00Z,7.201,45N
2001-04-15T00:00:00Z,1.333,45N
2001-05-15T00:00:00Z,5.048,45N
2001-06-15T00:00:00Z,1.273,45N
2001-07-15T00:00:00Z,2.678,45N
2001-08-15T00:00:00Z,0.21,45N
2001-09-15T00:00:00Z,1.135,45N
2001-10-15T00:00:00Z,0.272,45N
2001-11-15T00:00:00Z,-3.304,45N
2001-12-15T00:00:00Z,-2.247,45N
2002-01-15T00:00:00Z,-2.613,45N
2002-02-15T00:00:00Z,1.159,45N
2002-03-15T00:00:00Z,3.336,45N
2002-04-15T00:00:00Z,9.225,45N
2002-05-15T00:00:00Z,5.094,45N
2002-06-15T00:00:00Z,1.324,45N
2002-07-15T00:00:00Z,2.078,45N
2002-08-15T00:00:00Z,2.656,45N
2002-09-15T00:00:00Z,1.375,45N
2002-10-15T00:00:00Z,2.805,45N
2002-11-15T00:00:00Z,-6.708,45N
2002-12-15T00:00:00Z,-3.578,45N
2003-01-15T00:00:00Z,-2.239,45N
2003-02-15T00:00:00Z,0.661,45N
2003-03-15T00:00:00Z,-3.281,45N
2003-04-15T00:00:00Z,-1.773,45N
2003-05-15T00:00:00Z,1.385,45N
2003-06-15T00:00:00Z,2.148,45N
2003-07-15T00:00:00Z,2.133,45N
2003-08-15T00:00:00Z,0.758,45N
2003-09-15T00:00:00Z,1.34,45N
2003-10-15T00:00:00Z,-0.363,45N
2003-11-15T00:00:00Z,-0.252,45N
2003-12-15T00:00:00Z,-1.452,45N
2004-01-15T00:00:00Z,-2.698,45N
