date,MHW_area,MHW_intensity,MHW_pct_cover
1982-04-03T00:00:00Z,32512.803,1.874828,0
1982-04-04T00:00:00Z,5049.0435,1.3501688,0
1982-04-05T00:00:00Z,22130.053,1.6777768,0
1982-04-06T00:00:00Z,82766.21,1.5734156,0
1982-04-07T00:00:00Z,110449.52,1.6992689,0
1982-04-08T00:00:00Z,105175.68,1.7794032,0.00159109
1982-04-09T00:00:00Z,143882.84,2.1747873,0.00795545
1982-04-10T00:00:00Z,231967.92,1.9780855,0.01750199
1982-04-11T00:00:00Z,278491.56,2.0254788,0.019888625
1982-04-12T00:00:00Z,331875.34,1.8763467,0.027048528
1982-04-13T00:00:00Z,314675.7,1.759545,0.071599044
1982-04-14T00:00:00Z,155904.06,1.4735537,0.050914876
1982-04-15T00:00:00Z,65543.414,1.601835,0.022275258
1982-04-16T00:00:00Z,52809.94,1.6764917,0.020684168
1982-04-17T00:00:00Z,35708.59,1.6704866,0.015115354
1982-04-18T00:00:00Z,1864.9808,1.8733037,0.010342084
1982-04-19T00:00:00Z,7214.742,1.9338814,0
1982-04-20T00:00:00Z,38315.652,1.81462,0.00477327
1982-04-21T00:00:00Z,82199.734,1.5695993,0.026252983
1982-04-22T00:00:00Z,136245.28,2.000403,0.03818616
1982-04-23T00:00:00Z,186532.75,1.8926384,0.019888625
1982-04-24T00:00:00Z,212604.11,1.832393,0.013524264
1982-04-25T00:00:00Z,231820.95,1.954942,0.045346063
1982-04-26T00:00:00Z,198312.56,1.9769983,0.035799522
1982-04-27T00:00:00Z,222372.5,1.6256796,0.014319809
1982-04-28T00:00:00Z,151136.34,1.8452778,0
1982-04-29T00:00:00Z,101942.85,1.8555378,0
1982-04-30T00:00:00Z,67759.555,1.4489856,0
1982-05-01T00:00:00Z,49592.785,1.9477731,0.00954654
1982-05-02T00:00:00Z,52712.777,1.0524204,0.027048528
1982-05-03T00:00:00Z,118169.555,2.7114632,0.030230708
1982-05-04T00:00:00Z,156925.95,2.04584,0.0548926
1982-05-05T00:00:00Z,154467.27,1.7939489,0.046141606
1982-05-06T00:00:00Z,142622.52,1.8179047,0.042959426
1982-05-07T00:00:00Z,106205.28,2.1448474,0.019888625
