"spec","stock","enh","data_scope","ref_pt","q10","q50","q90","long_name"
"HUC_full_enh","Hucuktlis",0,"full","Seq",2713.17812334594,11200.7468727462,17951.5720068104,"Hucuktlis Lake (w/enhancement term)"
"HUC_full_enh","Hucuktlis",1,"full","Seq",18782.864097727,35132.2095288078,58929.5040313899,"Hucuktlis Lake (w/enhancement term)"
"HUC_trim_enh","Hucuktlis",0,"trim","lnalpha",0.437654978347147,1.52537053566489,2.50510803235075,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",1,"trim","lnalpha",0.795401753063748,1.47675251297051,2.21000034113043,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",0,"trim","beta",7.86087219746601e-05,0.000129093938454986,0.000191733863981292,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",1,"trim","beta",3.57946786216567e-05,5.11741584513104e-05,6.96799137709939e-05,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",0,"trim","Umsy",0.206435066220913,0.602588222423179,0.815422446368669,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",1,"trim","Umsy",0.355743464639031,0.588589276570002,0.764396284438008,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",0,"trim","Smsy0.8",1455.14160168224,3543.71957378362,5370.5912090676,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",1,"trim","Smsy0.8",5849.85220882612,8743.52994707936,12720.5439116453,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",0,"trim","Smsy",1818.9270021028,4429.64946722953,6713.2390113345,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",1,"trim","Smsy",7312.31526103265,10929.4124338492,15900.6798895567,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",0,"trim","Sgen",291.907910777769,1038.04205682226,2057.34908025872,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",1,"trim","Sgen",1396.26125601539,2926.35785674634,4786.92282727605,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",0,"trim","Seq",3875.56524013825,11870.0458418237,18488.2776898006,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",1,"trim","Seq",16845.4641984177,27997.4645142784,42734.0945300419,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
