"lake","year","ttl","returns_age1","returns_age2","returns_age1+"
"Great Central",1971,40149.6327679078,NA,1,0.232683795782044
"Great Central",1972,474318.22120498,0.767316204217956,0.232683795782044,0.106806752677357
"Great Central",1973,664843.095588824,0.893193247322643,0.106806752677357,0.206677024451076
"Great Central",1974,389855.866898976,0.793322975548924,0.206677024451076,0.131782477228173
"Great Central",1975,853996.010654967,0.868217522771827,0.131782477228173,0.105943408835216
"Great Central",1976,690824.371873411,0.894056591164784,0.105943408835216,0.104939641886191
"Great Central",1977,633742.563790377,0.895060358113809,0.104939641886191,0.138141275920957
"Great Central",1978,526832.305348389,0.861858724079043,0.138141275920957,0.108484522383377
"Great Central",1979,913809.584503423,0.891515477616623,0.108484522383377,0.0478274963356847
"Great Central",1980,480598.25681444,0.952172503664315,0.0478274963356847,0.119461816648122
"Great Central",1981,224122.93865679,0.880538183351878,0.119461816648122,0.34567810107837
"Great Central",1982,137076.433319007,0.65432189892163,0.34567810107837,0.155350189872368
"Great Central",1983,503092.30271186,0.844649810127632,0.155350189872368,0.056080404167861
"Great Central",1984,206726.536622572,0.943919595832139,0.056080404167861,0.243276723992302
"Great Central",1985,292061.93920673,0.756723276007698,0.243276723992302,0.0889426805283058
"Great Central",1986,274311.773000933,0.911057319471694,0.0889426805283058,0.0861065595039102
"Great Central",1987,1258256.63699026,0.91389344049609,0.0861065595039102,0.166021458215571
"Great Central",1988,599789.346607919,0.833978541784429,0.166021458215571,0.0717490963552635
"Great Central",1989,400875.035032854,0.928250903644737,0.0717490963552635,0.0268277053045033
"Great Central",1990,138601.997986058,0.973172294695497,0.0268277053045033,0.820164580359168
"Great Central",1991,74102.6899016448,0.179835419640832,0.820164580359168,0.164549065807474
"Great Central",1992,290004.594430445,0.835450934192526,0.164549065807474,0.26330170179081
"Great Central",1993,421979.687809497,0.73669829820919,0.26330170179081,0.177042305580202
"Great Central",1994,240203.976028309,0.822957694419798,0.177042305580202,0.0362551199742104
"Great Central",1995,241682.56914754,0.96374488002579,0.0362551199742104,0.899226778073187
"Great Central",1996,261943.562224739,0.100773221926813,0.899226778073187,0.259112326636595
"Great Central",1997,717175.161337034,0.740887673363405,0.259112326636595,0.215714123337327
"Great Central",1998,518419.739418842,0.784285876662673,0.215714123337327,0.158485971383838
"Great Central",1999,569643.415312854,0.841514028616162,0.158485971383838,0.0785796307839213
"Great Central",2000,213509.857773842,0.921420369216079,0.0785796307839213,0.436963664309351
"Great Central",2001,329840.26649195,0.563036335690649,0.436963664309351,0.0157049986116445
"Great Central",2002,97065.4053703096,0.984295001388355,0.0157049986116445,0.462090089159031
"Great Central",2003,17687.7897830479,0.537909910840969,0.462090089159031,0.129253737480995
"Great Central",2004,189217.890523509,0.870746262519005,0.129253737480995,0.18512006208599
"Great Central",2005,454549.782711437,0.81487993791401,0.18512006208599,0.160638634310871
"Great Central",2006,966912.752221054,0.839361365689129,0.160638634310871,0.0599848095183104
"Great Central",2007,645290.461871243,0.94001519048169,0.0599848095183104,0.0315377908202056
"Great Central",2008,100032.30972108,0.968462209179794,0.0315377908202056,0.229857978206201
"Great Central",2009,147482.611506928,0.770142021793798,0.229857978206201,0.176241289622495
"Great Central",2010,530209.376120628,0.823758710377505,0.176241289622495,0.0226738288375319
"Great Central",2011,1383229.19099144,0.977326171162468,0.0226738288375319,0.0301305582766882
"Great Central",2012,189975.379541709,0.969869441723312,0.0301305582766882,0.28595920922758
"Great Central",2013,31701.9128248074,0.71404079077242,0.28595920922758,0.182786892837432
"Great Central",2014,99890.8794178967,0.817213107162568,0.182786892837432,0.87865151749778
"Great Central",2015,140758.265939476,0.12134848250222,0.87865151749778,0.338321948762832
"Great Central",2016,291403.081691474,0.661678051237168,0.338321948762832,0.118166469955789
"Great Central",2017,340480.275186237,0.881833530044211,0.118166469955789,0.234443418510223
"Great Central",2018,134672.383034402,0.765556581489777,0.234443418510223,0.0392317991204172
"Great Central",2019,225085.006334257,0.960768200879583,0.0392317991204172,NA
"Great Central",2020,90778.6643688078,1,NA,NA
"Sproat",1971,13877.207125659,NA,1,0.218878720977681
"Sproat",1972,170371.671323945,0.781121279022319,0.218878720977681,0.0595531978552276
"Sproat",1973,241045.293664445,0.940446802144772,0.0595531978552276,0.178693420098796
"Sproat",1974,141750.708329269,0.821306579901204,0.178693420098796,0.181776951545929
"Sproat",1975,255682.355799344,0.818223048454071,0.181776951545929,0.104259581690549
"Sproat",1976,469336.513745894,0.895740418309451,0.104259581690549,0.131487024100269
"Sproat",1977,495061.883407539,0.868512975899731,0.131487024100269,0.11381184125096
"Sproat",1978,552803.004053448,0.88618815874904,0.11381184125096,0.0814681827458692
"Sproat",1979,570766.854009019,0.918531817254131,0.0814681827458692,0.0384285600346082
"Sproat",1980,391376.426726035,0.961571439965392,0.0384285600346082,0.0820009828968234
"Sproat",1981,288014.307142438,0.917999017103177,0.0820009828968234,0.158243507959037
"Sproat",1982,203184.164250254,0.841756492040963,0.158243507959037,0.262494962249847
"Sproat",1983,371601.962535504,0.737505037750154,0.262494962249847,0.0250404871586882
"Sproat",1984,340157.67850868,0.974959512841312,0.0250404871586882,0.0793542272304793
"Sproat",1985,172160.366214793,0.920645772769521,0.0793542272304793,0.178926284008646
"Sproat",1986,265697.028795797,0.821073715991354,0.178926284008646,0.214857907642618
"Sproat",1987,652446.902947612,0.785142092357382,0.214857907642618,0.0903680751074416
"Sproat",1988,625355.48028043,0.909631924892558,0.0903680751074416,0.0933800748171247
"Sproat",1989,407468.224795748,0.906619925182875,0.0933800748171247,0.0118961541750341
